Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
,,,,,,,,
164,163,128,197,8,961,641,28,27.23
,,,,,,,,
350,0,0,203,0,974,775,28,27.34
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
,,,,,,,,
307,0,0,193,0,968,812,28,27.53
,,,,,,,,
254,0,0,198,0,968,863,180,27.63
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
,,,,,,,,
159,149,116,175,15,953,720,28,27.68
,,,,,,,,
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
,,,,,,,,
393,0,0,192,0,940.6,785.6,7,27.74
,,,,,,,,
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
,,,,,,,,
310,0,0,192,0,1012,830,28,27.83
,,,,,,,,
133,200,0,192,0,927.4,839.2,28,27.87
,,,,,,,,
385,0,0,186,0,966,763,14,27.92
,,,,,,,,
310,0,0,192,0,970,850,28,27.92
,,,,,,,,
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
,,,,,,,,
198.6,132.4,0,192,0,978.4,825.5,28,28.02
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
,,,,,,,,
139.6,209.4,0,192,0,1047,806.9,28,28.24
,,,,,,,,
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
,,,,,,,,
237,92,71,247,6,853,695,28,28.63
,,,,,,,,
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
,,,,,,,,
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
,,,,,,,,
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
,,,,,,,,
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
,,,,,,,,
155,184,143,194,9,880,699,28,28.99
,,,,,,,,
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
,,,,,,,,
375,93.8,0,126.6,23.4,852.1,992.6,3,29
,,,,,,,,
136,162,126,172,10,923,764,28,29.07
,,,,,,,,
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
,,,,,,,,
145,116,119,184,5.7,833,880,28,29.16
,,,,,,,,
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
,,,,,,,,
108.3,162.4,0,203.5,0,938.2,849,90,29.23
,,,,,,,,
296,0,0,192,0,1085,765,90,29.39
,,,,,,,,
156,178,187,221,7,854,614,28,29.41
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
,,,,,,,,
491,26,123,201,3.9,822,699,3,29.55
,,,,,,,,
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
,,,,,,,,
322,0,0,203,0,974,800,180,29.59
,,,,,,,,
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
,,,,,,,,
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
,,,,,,,,
143,169,143,191,8,967,643,28,29.72
,,,,,,,,
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
,,,,,,,,
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
,,,,,,,,
254,0,0,198,0,968,863,365,29.79
,,,,,,,,
144,170,133,192,8,814,805,28,29.87
,,,,,,,,
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
,,,,,,,,
141.3,212,0,203.5,0,971.8,748.5,28,29.89
,,,,,,,,
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
,,,,,,,,
350,0,0,203,0,974,775,56,29.98
,,,,,,,,
237.5,237.5,0,228,0,932,594,28,30.08
,,,,,,,,
305,0,100,196,10,959,705,28,30.12
,,,,,,,,
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
,,,,,,,,
400,0,0,187,0,1025,745,7,30.14
,,,,,,,,
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
,,,,,,,,
238.1,0,94.1,186.7,7,949.9,847,28,30.23
,,,,,,,,
332.5,142.5,0,228,0,932,594,7,30.28
,,,,,,,,
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
,,,,,,,,
200,133,0,192,0,965.4,806.2,28,30.44
,,,,,,,,
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
,,,,,,,,
325,0,0,184,0,1063,783,28,30.57
,,,,,,,,
162,214,164,202,10,820,680,28,30.65
,,,,,,,,
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
,,,,,,,,
159,209,161,201,7,848,669,28,30.88
,,,,,,,,
297,0,0,186,0,1040,734,7,30.96
,,,,,,,,
116,173,0,192,0,909.8,891.9,90,31.02
,,,,,,,,
133,210,0,196,3,949,795,28,31.03
,,,,,,,,
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
,,,,,,,,
322,0,116,196,10,818,813,28,31.18
,,,,,,,,
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
,,,,,,,,
277,0,0,191,0,968,856,90,31.25
,,,,,,,,
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
,,,,,,,,
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
,,,,,,,,
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
,,,,,,,,
350,0,0,203,0,974,775,90,31.35
,,,,,,,,
385,0,0,186,0,966,763,28,31.35
,,,,,,,,
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38
,,,,,,,,
296,0,107,221,11,819,778,28,31.42
,,,,,,,,
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
,,,,,,,,
331,0,0,192,0,978,825,28,31.45
,,,,,,,,
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
,,,,,,,,
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
,,,,,,,,
339,0,0,185,0,1060,754,28,31.65
,,,,,,,,
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
,,,,,,,,
331,0,0,192,0,1025,821,28,31.74
,,,,,,,,
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
,,,,,,,,
339,0,0,185,0,1069,754,28,31.84
,,,,,,,,
298,0,107,210,11,880,744,28,31.87
,,,,,,,,
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
,,,,,,,,
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
,,,,,,,,
333,0,0,192,0,931.2,842.6,28,31.97
,,,,,,,,
376,0,0,214.6,0,1003.5,762.4,28,31.97
,,,,,,,,
424,22,132,178,8.5,882,750,3,32.01
,,,,,,,,
339,0,0,197,0,968,781,28,32.04
,,,,,,,,
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
,,,,,,,,
289,0,0,192,0,913.2,895.3,90,32.07
,,,,,,,,
173,116,0,192,0,946.8,856.8,90,32.1
,,,,,,,,
424,22,132,168,8.9,822,750,3,32.11
,,,,,,,,
273,0,90,199,11,931,762,28,32.24
,,,,,,,,
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
,,,,,,,,
277,0,0,191,0,968,856,180,32.33
,,,,,,,,
261,100,78,201,9,864,761,28,32.4
,,,,,,,,
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
,,,,,,,,
183.9,122.6,0,203.5,0,959.2,800,90,32.53
,,,,,,,,
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
,,,,,,,,
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
,,,,,,,,
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
,,,,,,,,
350,0,0,203,0,974,775,180,32.72
,,,,,,,,
349,0,0,192,0,1047,806,28,32.72
,,,,,,,,
159,187,0,176,11,990,789,28,32.76
,,,,,,,,
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
,,,,,,,,
380,95,0,228,0,932,594,7,32.82
,,,,,,,,
160,188,146,203,11,829,710,28,32.84
,,,,,,,,
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
,,,,,,,,
236,157,0,192,0,972.6,749.1,28,32.88
,,,,,,,,
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
,,,,,,,,
307,0,0,193,0,968,812,90,32.92
,,,,,,,,
149,236,0,176,13,847,893,28,32.96
,,,,,,,,
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
,,,,,,,,
212,141.3,0,203.5,0,973.4,750,28,33
,,,,,,,,
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
,,,,,,,,
332.5,142.5,0,228,0,932,594,28,33.02
,,,,,,,,
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
,,,,,,,,
157,214,152,200,9,819,704,28,33.05
,,,,,,,,
146,230,0,202,3,827,872,28,33.06
,,,,,,,,
397,0,0,185.7,0,1040.6,734.3,28,33.08
,,,,,,,,
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
,,,,,,,,
237.5,237.5,0,228,0,932,594,90,33.12
,,,,,,,,
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
,,,,,,,,
500,0,0,200,0,1125,613,7,33.21
,,,,,,,,
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
,,,,,,,,
132,207,161,179,5,867,736,28,33.3
,,,,,,,,
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
,,,,,,,,
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
,,,,,,,,
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
,,,,,,,,
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
,,,,,,,,
252,97,76,194,8,835,821,28,33.4
,,,,,,,,
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
,,,,,,,,
304,140,0,214,6,895,722,28,33.42
,,,,,,,,
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
,,,,,,,,
491,26,123,210,3.9,882,699,7,33.49
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
,,,,,,,,
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
,,,,,,,,
349,0,0,192,0,1056,809,28,33.61
,,,,,,,,
157,236,0,192,0,935.4,781.2,28,33.66
,,,,,,,,
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
,,,,,,,,
310,143,111,168,22,914,651,28,33.69
,,,,,,,,
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
,,,,,,,,
277,0,0,191,0,968,856,360,33.7
,,,,,,,,
262,111,86,195,5,895,733,28,33.72
,,,,,,,,
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
,,,,,,,,
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
,,,,,,,,
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
,,,,,,,,
162,190,148,179,19,838,741,28,33.76
,,,,,,,,
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
,,,,,,,,
525,0,0,189,0,1125,613,3,33.8
,,,,,,,,
255,99,77,189,6,919,749,28,33.8
,,,,,,,,
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
,,,,,,,,
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
,,,,,,,,
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
,,,,,,,,
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
,,,,,,,,
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
,,,,,,,,
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
,,,,,,,,
350,0,0,186,0,1050,770,28,34.29
,,,,,,,,
374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
,,,,,,,,
307,0,0,193,0,968,812,180,34.49
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
,,,,,,,,
480,0,0,192,0,936.2,712.2,7,34.57
,,,,,,,,
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
,,,,,,,,
310,0,0,192,0,970,850,90,34.68
,,,,,,,,
290.4,0,96.2,168.1,9.4,961.2,865,28,34.74
,,,,,,,,
387,20,94,157,11.6,938,845,3,34.77
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
,,,,,,,,
427.5,47.5,0,228,0,932,594,7,35.08
,,,,,,,,
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
,,,,,,,,
339,0,0,197,0,968,781,90,35.17
,,,,,,,,
140,164,128,237,6,869,656,28,35.23
,,,,,,,,
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23
,,,,,,,,
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
,,,,,,,,
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
,,,,,,,,
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
,,,,,,,,
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
,,,,,,,,
446,24,79,162,11.6,967,712,3,35.36
,,,,,,,,
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
,,,,,,,,
359,19,141,154,10.9,942,801,7,35.75
,,,,,,,,
310,0,0,192,0,1012,830,90,35.76
,,,,,,,,
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
,,,,,,,,
298,0,107,164,13,953,784,28,35.86
,,,,,,,,
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
,,,,,,,,
307,0,0,193,0,968,812,365,36.15
,,,,,,,,
237.5,237.5,0,228,0,932,594,180,36.25
,,,,,,,,
425,106.3,0,151.4,18.6,936,803.7,3,36.3
,,,,,,,,
376,0,0,214.6,0,1003.5,762.4,56,36.3
,,,,,,,,
152,178,139,168,18,944,695,28,36.35
,,,,,,,,
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
,,,,,,,,
140,133,103,200,7,916,753,28,36.44
,,,,,,,,
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
,,,,,,,,
339,0,0,197,0,968,781,180,36.45
,,,,,,,,
380,95,0,228,0,932,594,28,36.45
,,,,,,,,
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
,,,,,,,,
133,200,0,192,0,927.4,839.2,90,36.59
,,,,,,,,
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
,,,,,,,,
313,0,113,178,8,1002,689,28,36.8
,,,,,,,,
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
,,,,,,,,
387,20,94,157,14.3,938,845,7,36.84
,,,,,,,,
397,0,0,186,0,1040,734,28,36.94
,,,,,,,,
500,0,0,200,0,1125,613,14,36.94
,,,,,,,,
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
,,,,,,,,
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
,,,,,,,,
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
,,,,,,,,
273,105,82,210,9,904,680,28,37.17
,,,,,,,,
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
,,,,,,,,
331,0,0,192,0,978,825,90,37.23
,,,,,,,,
321,0,128,182,11,870,780,28,37.26
,,,,,,,,
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
,,,,,,,,
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
,,,,,,,,
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
,,,,,,,,
310,0,0,192,0,970,850,180,37.33
,,,,,,,,
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
,,,,,,,,
156,243,0,180,11,1022,698,28,37.36
,,,,,,,,
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
,,,,,,,,
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
,,,,,,,,
382,0,0,186,0,1047,739,28,37.42
,,,,,,,,
382,0,0,185,0,1047,739,28,37.42
,,,,,,,,
427.5,47.5,0,228,0,932,594,28,37.43
,,,,,,,,
150,237,0,174,12,1069,675,28,37.43
,,,,,,,,
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
,,,,,,,,
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
,,,,,,,,
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
,,,,,,,,
332.5,142.5,0,228,0,932,594,90,37.72
,,,,,,,,
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
,,,,,,,,
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
,,,,,,,,
210.7,316.1,0,185.7,0,977,689.3,28,37.81
,,,,,,,,
331,0,0,192,0,1025,821,90,37.91
,,,,,,,,
166,260,0,183,13,859,827,28,37.91
,,,,,,,,
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
,,,,,,,,
491,26,123,201,3.9,822,699,7,37.92
,,,,,,,,
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
,,,,,,,,
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
,,,,,,,,
446,24,79,162,11.6,967,712,7,38.02
,,,,,,,,
198.6,132.4,0,192,0,978.4,825.5,90,38.07
,,,,,,,,
310,0,0,192,0,970,850,360,38.11
,,,,,,,,
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
,,,,,,,,
375,0,0,186,0,1038,758,28,38.21
,,,,,,,,
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
,,,,,,,,
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
,,,,,,,,
237.5,237.5,0,228,0,932,594,270,38.41
,,,,,,,,
314,0,113,170,10,925,783,28,38.46
,,,,,,,,
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
,,,,,,,,
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
,,,,,,,,
475,0,0,228,0,932,594,7,38.6
,,,,,,,,
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
,,,,,,,,
359,19,141,154,10.9,942,801,7,38.61
,,,,,,,,
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
,,,,,,,,
316.1,210.7,0,185.7,0,977,689.3,28,38.7
,,,,,,,,
310,0,0,192,0,1012,830,120,38.7
,,,,,,,,
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
,,,,,,,,
288,192,0,192,0,932,717.8,28,38.8
,,,,,,,,
339,0,0,197,0,968,781,365,38.89
,,,,,,,,
237.5,237.5,0,228,0,932,594,365,39
,,,,,,,,
331,0,0,192,0,978,825,180,39
,,,,,,,,
424,22,132,178,8.5,822,750,7,39
,,,,,,,,
374,0,0,190,7,1013,730,28,39.05
,,,,,,,,
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
,,,,,,,,
397,0,0,185,0,1040,734,28,39.09
,,,,,,,,
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
,,,,,,,,
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
,,,,,,,,
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
,,,,,,,,
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
,,,,,,,,
475,0,0,228,0,932,594,28,39.29
,,,,,,,,
439,177,0,186,11.1,884.9,707.9,3,39.3
,,,,,,,,
234,156,0,189,5.9,981,760,28,39.3
,,,,,,,,
446,24,79,162,11.6,967,712,7,39.3
,,,,,,,,
192,288,0,192,0,929.8,716.1,28,39.32
,,,,,,,,
139.6,209.4,0,192,0,1047,806.9,90,39.36
,,,,,,,,
450.1,50,0,200,3,1124.4,613.2,28,39.38
,,,,,,,,
331,0,0,192,0,1025,821,120,39.38
,,,,,,,,
160,128,122,182,6.4,824,879,28,39.4
,,,,,,,,
266,112,87,178,10,910,745,28,39.42
,,,,,,,,
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
,,,,,,,,
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
,,,,,,,,
160,250,0,168,12,1049,688,28,39.45
,,,,,,,,
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
,,,,,,,,
349,0,0,192,0,1047,806,90,39.49
,,,,,,,,
393,0,0,192,0,940,758,28,39.58
,,,,,,,,
238.1,0,94.1,186.7,7,949.9,847,56,39.59
,,,,,,,,
393,0,0,192,0,940.6,785.6,28,39.6
,,,,,,,,
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
,,,,,,,,
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
,,,,,,,,
141.3,212,0,203.5,0,971.8,748.5,90,39.66
,,,,,,,,
228,342.1,0,185.7,0,955.8,674.3,28,39.7
,,,,,,,,
212,141.3,0,203.5,0,973.4,750,90,39.7
,,,,,,,,
332.5,142.5,0,228,0,932,594,180,39.78
,,,,,,,,
162,207,172,216,10,822,638,28,39.84
,,,,,,,,
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
,,,,,,,,
318,0,126,210,6,861,737,28,40.06
,,,,,,,,
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
,,,,,,,,
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
,,,,,,,,
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
,,,,,,,,
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
,,,,,,,,
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
,,,,,,,,
332.5,142.5,0,228,0,932,594,270,40.27
,,,,,,,,
424,22,132,168,8.9,822,750,7,40.29
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
,,,,,,,,
380,95,0,228,0,932,594,90,40.56
,,,,,,,,
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
,,,,,,,,
389.9,189,0,145.9,22,944.7,755.8,3,40.6
,,,,,,,,
349,0,0,192,0,1056,809,90,40.66
,,,,,,,,
326,0,138,199,11,801,792,28,40.68
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
,,,,,,,,
380,95,0,228,0,932,594,180,40.76
,,,,,,,,
190,190,0,228,0,932,670,28,40.86
,,,,,,,,
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
,,,,,,,,
349,0,0,192,0,1056,809,120,40.86
,,,,,,,,
356,0,142,193,11,801,778,28,40.87
,,,,,,,,
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
,,,,,,,,
313.3,145,0,178.5,8,867.2,824,28,40.93
,,,,,,,,
284,120,0,168,7,970,794,28,40.93
,,,,,,,,
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
,,,,,,,,
349,0,0,192,0,1047,806,180,41.05
,,,,,,,,
313,145,0,178,8,1002,689,28,41.05
,,,,,,,,
332.5,142.5,0,228,0,932,594,365,41.05
,,,,,,,,
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
,,,,,,,,
401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
,,,,,,,,
380,95,0,228,0,932,594,270,41.15
,,,,,,,,
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
,,,,,,,,
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
,,,,,,,,
331,0,0,192,0,978,825,360,41.24
,,,,,,,,
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
,,,,,,,,
516,0,0,162,8.2,801,802,28,41.37
,,,,,,,,
516,0,0,162,8.3,801,802,28,41.37
,,,,,,,,
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
,,,,,,,,
265,111,86,195,6,833,790,28,41.54
,,,,,,,,
